Region,Subregion 1,Subregion 2,Lat,Lon
Espoo,049 1 Suur-Leppävaara,049 11 Kanta-Leppävaara,60.2151,24.8092
Espoo,049 1 Suur-Leppävaara,049 13 Kilo-Karakallio,60.2151,24.8092
Espoo,049 1 Suur-Leppävaara,049 14 Laaksolahti,60.2151,24.8092
Espoo,049 1 Suur-Leppävaara,049 15 Viherlaakso-Lippajärvi,60.2151,24.8092
Espoo,049 1 Suur-Leppävaara,049 16 Sepänkylä,60.2151,24.8092
Espoo,049 2 Suur-Tapiola,049 21 Kanta-Tapiola,60.1775,24.8131
Espoo,049 2 Suur-Tapiola,049 22 Otaniemi,60.1775,24.8131
Espoo,049 2 Suur-Tapiola,049 23 Haukilahti-Westend,60.1775,24.8131
Espoo,049 2 Suur-Tapiola,049 24 Mankkaa,60.1775,24.8131
Espoo,049 2 Suur-Tapiola,049 25 Laajalahti,60.1775,24.8131
Espoo,049 3 Suur-Matinkylä,049 31 Matinkylä,60.1627,24.7528
Espoo,049 3 Suur-Matinkylä,049 32 Olari,60.1627,24.7528
Espoo,049 3 Suur-Matinkylä,049 33 Henttaa-Suurpelto,60.1627,24.7528
Espoo,049 4 Suur-Espoonlahti,049 41 Kanta-Espoonlahti,60.176,24.6458
Espoo,049 4 Suur-Espoonlahti,049 42 Saunalahti,60.176,24.6458
Espoo,049 4 Suur-Espoonlahti,049 43 Nöykkiö-Latokaski,60.176,24.6458
Espoo,049 4 Suur-Espoonlahti,049 44 Kaitaa,60.176,24.6458
Espoo,049 4 Suur-Espoonlahti,049 45 Suvisaaristo,60.176,24.6458
Espoo,049 5 Suur-Kauklahti,049 51 Kanta-Kauklahti,60.1866,24.5896
Espoo,049 5 Suur-Kauklahti,049 52 Kurttila-Vanttila,60.1866,24.5896
Espoo,049 6 Vanha-Espoo,049 61 Kanta-Espoo,60.2016,24.6627
Espoo,049 6 Vanha-Espoo,049 62 Muurala-Gumböle,60.2016,24.6627
Espoo,049 6 Vanha-Espoo,049 63 Bemböle,60.2016,24.6627
Espoo,049 6 Vanha-Espoo,049 64 Nuuksio-Nupuri,60.2016,24.6627
Espoo,049 7 Pohjois-Espoo,049 71 Vanhakartano-Röylä,60.2924,24.5316
Espoo,049 7 Pohjois-Espoo,049 72 Kalajärvi-Lakisto,60.2924,24.5316
Helsinki,1 Eteläinen suurpiiri ,  101 Vironniemi ,60.1681,24.9306
Helsinki,1 Eteläinen suurpiiri ,  102 Ullanlinna ,60.1681,24.9306
Helsinki,1 Eteläinen suurpiiri ,  103 Kampinmalmi ,60.1681,24.9306
Helsinki,1 Eteläinen suurpiiri ,  104 Taka-Töölö ,60.1681,24.9306
Helsinki,1 Eteläinen suurpiiri ,  105 Lauttasaari ,60.1681,24.9306
Helsinki,2 Läntinen suurpiiri ,  201 Reijola ,60.1946,24.8774
Helsinki,2 Läntinen suurpiiri ,  202 Munkkiniemi ,60.1946,24.8774
Helsinki,2 Läntinen suurpiiri ,  203 Haaga ,60.1946,24.8774
Helsinki,2 Läntinen suurpiiri ,  204 Pitäjänmäki ,60.1946,24.8774
Helsinki,2 Läntinen suurpiiri ,  205 Kaarela ,60.1946,24.8774
Helsinki,3 Keskinen suurpiiri ,  301 Kallio ,60.1834,24.9506
Helsinki,3 Keskinen suurpiiri ,  302 Alppiharju ,60.1834,24.9506
Helsinki,3 Keskinen suurpiiri ,  303 Vallila ,60.1834,24.9506
Helsinki,3 Keskinen suurpiiri ,  304 Pasila ,60.1834,24.9506
Helsinki,3 Keskinen suurpiiri ,  305 Vanhakaupunki ,60.1834,24.9506
Helsinki,4 Pohjoinen suurpiiri ,  401 Maunula ,60.2325,24.9178
Helsinki,4 Pohjoinen suurpiiri ,  402 Länsi-Pakila ,60.2325,24.9178
Helsinki,4 Pohjoinen suurpiiri ,  403 Tuomarinkylä ,60.2325,24.9178
Helsinki,4 Pohjoinen suurpiiri ,  404 Oulunkylä ,60.2325,24.9178
Helsinki,4 Pohjoinen suurpiiri ,  405 Itä-Pakila ,60.2325,24.9178
Helsinki,5 Koillinen suurpiiri ,  501 Latokartano ,60.2353,25.0812
Helsinki,5 Koillinen suurpiiri ,  502 Pukinmäki ,60.2353,25.0812
Helsinki,5 Koillinen suurpiiri ,  503 Malmi ,60.2353,25.0812
Helsinki,5 Koillinen suurpiiri ,  504 Suutarila ,60.2353,25.0812
Helsinki,5 Koillinen suurpiiri ,  505 Puistola ,60.2353,25.0812
Helsinki,5 Koillinen suurpiiri ,  506 Jakomäki ,60.2353,25.0812
Helsinki,6 Kaakkoinen suurpiiri ,  601 Kulosaari ,60.1867,25.0002
Helsinki,6 Kaakkoinen suurpiiri ,  602 Herttoniemi ,60.1867,25.0002
Helsinki,6 Kaakkoinen suurpiiri ,  603 Laajasalo ,60.1867,25.0002
Helsinki,7 Itäinen suurpiiri ,  701 Vartiokylä ,60.224,25.0537
Helsinki,7 Itäinen suurpiiri ,  702 Myllypuro ,60.224,25.0537
Helsinki,7 Itäinen suurpiiri ,  703 Mellunkylä ,60.224,25.0537
Helsinki,7 Itäinen suurpiiri ,  704 Vuosaari ,60.224,25.0537
Helsinki,8 Östersundomin suurpiiri ,  801 Östersundom ,60.2144,25.1667
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
